cif,account_number,transaction_id,transaction_date,transaction_amount,transaction_channel,merchant_category,card_base
623809042611635,3296351193,616031372,10/3/2025,7800389,Internet,E-Commerce,On-us
623809042611635,3296351193,549881207,10/8/2025,8452366,E-Wallet,E-Commerce,On-us
623809042611635,3296351193,229778469,2/21/2025,4904418,Internet,Entertainment,Off-us
623809042611635,3296351193,599252085,2/4/2025,9014985,ATM,Transport,Off-us
623809042611635,3296351193,359715036,5/20/2025,4121522,QRIS,Transport,Off-us
623809042611635,3296351193,639502462,6/26/2025,4190283,ATM,E-Commerce,Off-us
623809042611635,3296351193,631170311,8/2/2025,4623726,Mobile,F&B,On-us
623809042611635,3296351193,849026397,7/26/2025,8605098,EDC,Utilities,Off-us
623809042611635,3296351193,643930471,10/21/2025,7278658,Mobile,Utilities,Off-us
623809042611635,3296351193,692269675,9/30/2025,3765840,Internet,Transport,On-us
623809042611635,3296351193,514681134,2/5/2025,144095,ATM,F&B,On-us
623809042611635,3296351193,660067729,3/6/2025,195521,Internet,Entertainment,On-us
666644413142286,9668425413,154346324,6/4/2025,2022600,Mobile,E-Commerce,On-us
666644413142286,9668425413,520603690,4/9/2025,2125875,Mobile,E-Commerce,Off-us
666644413142286,9668425413,785605316,9/1/2025,2059777,Mobile,Utilities,On-us
666644413142286,9668425413,222223575,9/10/2025,6297256,ATM,Travel,On-us
666644413142286,9668425413,609622343,9/20/2025,5708169,E-Wallet,Travel,On-us
666644413142286,9668425413,959915420,10/21/2025,5027994,Internet,F&B,On-us
666644413142286,9668425413,491893617,3/20/2025,6792665,Mobile,Entertainment,Off-us
666644413142286,9668425413,637395164,6/22/2025,8680965,E-Wallet,Entertainment,Off-us
666644413142286,9668425413,988158440,9/8/2025,6076222,ATM,Retail,Off-us
666644413142286,9668425413,154077619,8/1/2025,3312702,Mobile,Utilities,On-us
666644413142286,9668425413,966474210,3/24/2025,3477000,ATM,F&B,On-us
666644413142286,9668425413,593737350,4/16/2025,2147931,Internet,Transport,Off-us
666644413142286,9668425413,171740677,6/8/2025,1306325,EDC,Entertainment,On-us
666644413142286,9668425413,482463272,3/26/2025,2536589,E-Wallet,Retail,Off-us
666644413142286,9668425413,840605281,1/9/2025,127533,QRIS,Travel,Off-us
666644413142286,9668425413,629930954,9/4/2025,849177,Internet,Entertainment,On-us
666644413142286,9668425413,162189583,2/14/2025,9423922,QRIS,Retail,On-us
666644413142286,9668425413,977759723,7/10/2025,9214016,EDC,E-Commerce,Off-us
666644413142286,9668425413,964734653,4/4/2025,3848100,EDC,Transport,On-us
666644413142286,9668425413,480675716,6/4/2025,421768,Mobile,Retail,On-us
666644413142286,9555098951,545502868,1/1/2025,8006105,EDC,E-Commerce,On-us
666644413142286,9555098951,984189878,1/26/2025,8291010,E-Wallet,F&B,On-us
666644413142286,9555098951,863943748,9/19/2025,995587,QRIS,Travel,Off-us
