cif,Jenis Kelamin,Umur,Range Umur,Status Pernikahan,Gaji,Range Gaji,Pendidikan,Kota,Tipe Customer,Nomor Rekening,Tipe Rekening,Tanggal Pembuatan Rekening,Channel Pembukaan Rekening,Transaction ID,Tanggal Transaksi,Nominal Transaksi,Channel Transaksi,Kategori Merchant,Card Base
763392449456562,Laki-Laki,67,>=60,Single,110583175,>100Jt,S1,Surabaya,Reguler,3203649860,DEPOSITO,9/7/2022,INTERNET BANKING,270070184,8/1/2025,5348541,EDC,E-Commerce,Off-us
408840176154476,Laki-Laki,64,>=60,Divorce,76283807,50-100Jt,S1,Medan,Priority,6051542564,PAYROLL,11/3/2020,INTERNET BANKING,110578189,7/29/2025,3070699,EDC,Travel,Off-us
265949077259771,Perempuan,22,<25,Married,143513153,>100Jt,S2,Makassar,Private,2682646833,PAYROLL,4/12/2024,BRANCH,768119630,7/8/2025,8237798,EDC,Travel,On-us
269671443251591,Laki-Laki,45,45-59,Married,55316857,50-100Jt,S3,Makassar,Reguler,8189937909,DEPOSITO,7/15/2019,MOBILE BANKING,337901370,8/22/2025,6167400,Mobile,F&B,Off-us
140152519826594,Perempuan,22,<25,Divorce,156022264,>100Jt,S3,Makassar,Private,3885269999,DEPOSITO,7/25/2021,BRANCH,199838255,6/22/2025,7892794,EDC,Entertainment,Off-us
655393413558650,Laki-Laki,59,45-59,Married,45827096,15-50Jt,S1,Medan,Private,8254719856,GIRO,2/11/2021,BRANCH,797148672,3/2/2025,8326797,QRIS,Entertainment,On-us
927704275053307,Perempuan,53,45-59,Married,9469723,5-15Jt,S1,Bandung,Reguler,4800731443,DEPOSITO,11/3/2018,INTERNET BANKING,605243878,6/5/2025,531509,E-Wallet,Entertainment,On-us
425144049166650,Laki-Laki,39,35-44,Married,13176828,5-15Jt,SMA,Jakarta,Priority,8282067468,GIRO,9/14/2023,INTERNET BANKING,545382462,4/14/2025,7120852,ATM,Utilities,Off-us
921337502557175,Laki-Laki,54,45-59,Single,49467514,15-50Jt,S3,Bandung,Priority,7285905501,GIRO,1/1/2024,BRANCH,355106576,10/27/2025,2168643,QRIS,Retail,On-us
459115276904082,Laki-Laki,40,35-44,Single,151443952,>100Jt,S1,Surabaya,Private,3007413327,DEPOSITO,6/24/2019,INTERNET BANKING,866078609,5/29/2025,7497866,Mobile,Retail,Off-us
542153004168383,Perempuan,61,>=60,Divorce,56915845,50-100Jt,S2,Surabaya,Private,8150338827,PAYROLL,12/9/2021,MOBILE BANKING,951085671,10/23/2025,1634280,QRIS,Travel,Off-us
